rule,t,avgMaxRadius,stdMaxRadius,avgAliveCells,stdAliveCells
Rule3323,64,16.5645,5.30464,49.7300,35.4796
Rule3323,65,16.6453,5.41451,49.3400,35.6887
Rule3323,66,16.7446,5.42159,50.9500,38.0044
Rule3323,67,16.8426,5.48509,49.6600,36.6339
Rule3323,68,16.8276,5.57059,50.5800,38.5325
Rule3323,69,16.9398,5.67412,50.5500,37.8792
Rule3323,70,17.0537,5.74464,50.2100,38.1508
Rule3323,71,17.1974,5.84990,50.9400,38.1684
Rule3323,72,17.2718,5.95990,50.1900,37.7540
Rule3323,73,17.3839,6.13233,50.9900,38.7276
Rule3323,74,17.4543,6.22609,50.8900,39.3713
Rule3323,75,17.5687,6.35807,51.3100,38.5839
Rule3323,76,17.6841,6.40186,51.1700,38.9058
Rule3323,77,17.7893,6.48948,51.4800,38.4084
Rule3323,78,17.7754,6.80648,51.8500,39.6929
Rule3323,79,17.8979,6.89936,51.6200,38.3653
Rule3323,80,18.0293,7.02049,51.0000,38.1906
Rule3323,81,18.0981,7.00995,51.4100,39.6500
Rule3323,82,18.2000,7.13216,50.2200,38.6937
Rule3323,83,18.2429,7.21167,51.5300,39.9660
Rule3323,84,18.3294,7.30169,50.9700,40.4191
Rule3323,85,18.4090,7.38620,52.3800,41.9198
Rule3323,86,18.4127,7.38628,52.1100,41.1081
Rule3323,87,18.5068,7.47847,52.9100,42.5982
Rule3323,88,18.5131,7.47888,52.8200,42.3190
Rule3323,89,18.6096,7.56540,53.0400,42.7412
Rule3323,90,18.6962,7.63112,54.4500,43.9904
Rule3323,91,18.8163,7.71566,53.4700,42.6684
Rule3323,92,18.8731,7.80989,53.7900,42.7710
Rule3323,93,18.9480,7.85503,53.9700,43.1735
Rule3323,94,18.9697,7.88943,54.1900,42.5770
Rule3323,95,19.0265,7.92851,54.2100,43.8066
Rule3323,96,19.1218,8.01873,53.6700,43.1797
Rule3323,97,19.1062,8.18175,53.2700,42.5925
Rule3323,98,19.1619,8.20822,54.0400,43.4869
Rule3323,99,19.2605,8.30382,53.9600,43.8972
Rule3623,0,14.8741,2.07680,52.3500,9.97914
Rule3623,1,13.1361,2.07991,43.3400,10.5727
Rule3623,2,12.7406,2.19911,44.2800,12.8975
Rule3623,3,12.7205,2.21094,42.4100,13.6915
Rule3623,4,12.5739,2.29994,42.7500,15.0235
Rule3623,5,12.4671,2.44779,41.8300,15.2925
Rule3623,6,12.5027,2.47460,42.2400,17.1023
Rule3623,7,12.5285,2.51001,41.6800,16.8204
Rule3623,8,12.3404,2.74782,42.0400,17.9438
Rule3623,9,12.3929,2.78613,41.7100,17.9901
Rule3623,10,12.4181,2.77988,42.4600,18.1845
Rule3623,11,12.4463,2.80677,41.6300,18.6296
Rule3623,12,12.4745,2.75923,42.8500,19.7307
Rule3623,13,12.4279,2.69428,42.9000,20.4823
Rule3623,14,12.4671,2.71595,43.5600,22.0506
Rule3623,15,12.4756,2.76309,43.0200,22.3145
Rule3623,16,12.5673,2.75651,42.3600,20.9157
Rule3623,17,12.6380,2.80532,42.6200,21.9411
Rule3623,18,12.7068,2.85808,42.6000,22.2588
Rule3623,19,12.7436,3.02043,42.0900,23.0945
Rule3623,20,12.7835,3.04039,42.3100,23.5902
Rule3623,21,12.8403,3.11683,42.1900,24.1233
Rule3623,22,12.8795,3.14124,42.9700,24.7405
Rule3623,23,12.9254,3.19772,42.4600,24.3109
Rule3623,24,12.9585,3.22675,43.1100,25.0688
Rule3623,25,12.9584,3.20499,42.9500,24.8691
